종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장,in_top_gainers,in_top_tv
LG전자,066570,293000,,29.93,22610153.0,6317885726000.0,KOSPI,True,True
LG씨엔에스,064400,113800,,29.91,21796080.0,2361770650800.0,KOSPI,True,True
LG이노텍,011070,1474000,,28.57,2798211.0,3898354264000.0,KOSPI,True,True
LG,003550,144800,,26.6,10564392.0,1506942612200.0,KOSPI,True,True
현대오토에버,307950,917000,,24.8,2337368.0,2080599396000.0,KOSPI,True,True
삼성에스디에스,018260,308500,,20.32,7566090.0,2231586332000.0,KOSPI,True,True
