종목명,종목코드,시장,등락률,거래대금,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
남해화학,025860,KOSPI,24.36,533176537720.0,당일돌파형,당일돌파형,0,,,고가 유지,13,4,True,★외인매수,2026-04-30 17:50,2차
산일전기,062040,KOSPI,20.36,1348942860000.0,당일돌파형,당일돌파형,0,,,고가 유지,11,3,True,★기관매수,2026-04-30 17:50,2차
KBI메탈,024840,KOSDAQ,29.94,199815587700.0,당일돌파형,당일돌파형,0,,,고가 유지,10,4,False,★쌍매수,2026-04-30 17:50,2차
나우로보틱스,459510,KOSDAQ,30.0,225201462050.0,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,쌍매수,2026-04-30 17:50,2차
