종목명,종목코드,시장,등락률,거래대금,signal_price,sector,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type,signal_time,regular_close_price,regular_close_price_available,entry_reference_price,price_source,kim_hyungjun_flag,kim_hyungjun_stage,kim_hyungjun_base_offset,kim_hyungjun_base_tv_ratio,kim_hyungjun_today_tv_ratio,kim_hyungjun_close_vs_base_high_pct,kim_hyungjun_above_ma5,kim_hyungjun_supply_ok,is_kh_only
제주반도체,080220,KOSDAQ,28.35,815740102800.0,75600.0,반도체와반도체장비,당일돌파형,당일돌파형,0,,,고가 유지,11,4,True,쌍매수,2026-05-14 17:50,2차,2026-05-14 17:50,75600.0,True,75600.0,regular_close_price,False,,,,,,,,False
LG씨엔에스,064400,KOSPI,17.14,1823749834700.0,88300.0,IT서비스,당일돌파형,당일돌파형,0,,,고가 유지,10,4,False,기관매수,2026-05-14 17:50,2차,2026-05-14 17:50,86100.0,True,86100.0,regular_close_price,False,,,,,,,,False
비에이치,090460,KOSPI,24.38,161100725000.0,37200.0,전자장비와기기,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,외인매수,2026-05-14 17:50,2차,2026-05-14 17:50,37500.0,True,37500.0,regular_close_price,False,,,,,,,,False
LG전자,066570,KOSPI,13.38,2439017471000.0,219000.0,전자제품,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★기관매수,2026-05-14 17:50,2차,2026-05-14 17:50,217000.0,True,217000.0,regular_close_price,False,,,,,,,,False
