종목명,종목코드,시장,등락률,거래대금,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
SK증권,001510,KOSPI,13.73,865042598770.0,없음,없음,,,,약화,6,2,True,혼조,2026-04-28 18:29,수동
POSCO홀딩스,005490,KOSPI,11.74,1894326324500.0,당일돌파형,당일돌파형,0.0,,,고가 유지,11,3,False,★쌍매수,2026-04-28 18:29,수동
TCC스틸,002710,KOSPI,19.7,236316682800.0,당일돌파형,당일돌파형,0.0,,,고가 유지,10,4,False,쌍매수,2026-04-28 18:29,수동
알루코,001780,KOSPI,30.0,175835680020.0,당일돌파형,당일돌파형,0.0,,,고가 유지,10,4,False,쌍매수,2026-04-28 18:29,수동
포스코스틸리온,058430,KOSPI,29.87,150264790280.0,당일돌파형,당일돌파형,0.0,,,고가 유지,10,4,False,쌍매수,2026-04-28 18:29,수동
넥스틸,092790,KOSPI,29.89,326202944800.0,당일돌파형,당일돌파형,0.0,,,고가 유지,9,4,False,★쌍매수,2026-04-28 18:29,수동
휴스틸,005010,KOSPI,17.22,227109712220.0,당일돌파형,당일돌파형,0.0,,,고가 유지,8,3,False,★기관매수,2026-04-28 18:29,수동
