종목명,종목코드,시장,등락률,거래대금,signal_price,sector,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
삼성물산,028260,KOSPI,17.34,637133004500.0,375500.0,복합기업,당일돌파형,당일돌파형,0,,,고가 유지,12,4,False,쌍매수,2026-05-07 07:41,수동
두산퓨얼셀,336260,KOSPI,29.21,385547242500.0,78300.0,전기제품,당일돌파형,당일돌파형,0,,,고가 유지,10,4,False,★외인매수,2026-05-07 07:41,수동
SK하이닉스,000660,KOSPI,10.64,10251138960000.0,1601000.0,전력반도체,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★외인매수,2026-05-07 07:41,수동
대한전선,001440,KOSPI,14.0,2058749962400.0,69200.0,전선,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-07 07:41,수동
미래에셋증권,006800,KOSPI,19.2,1731162188000.0,83800.0,증권,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-07 07:41,수동
한온시스템,018880,KOSPI,11.55,738594407200.0,5410.0,자동차부품,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-07 07:41,수동
한빛레이저,452190,KOSDAQ,22.52,214821336730.0,10010.0,유리 기판,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,★쌍매수,2026-05-07 07:41,수동
삼성전자,005930,KOSPI,14.41,13329743056000.0,266000.0,플렉서블 디스플레이,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★외인매수,2026-05-07 07:41,수동
엑스게이트,356680,KOSDAQ,23.05,269793580280.0,18470.0,소프트웨어,당일돌파형,당일돌파형,0,,,고가 유지,7,4,False,★기관매수,2026-05-07 07:41,수동
