종목명,종목코드,시장,등락률,거래대금,signal_price,sector,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type,signal_time,regular_close_price,regular_close_price_available,entry_reference_price,price_source,kim_hyungjun_flag,kim_hyungjun_stage,kim_hyungjun_base_offset,kim_hyungjun_base_tv_ratio,kim_hyungjun_today_tv_ratio,kim_hyungjun_close_vs_base_high_pct,kim_hyungjun_above_ma5,kim_hyungjun_supply_ok,is_kh_only
대한광통신,010170,KOSDAQ,21.25,2136591398100.0,27100.0,광통신(광케이블/광섬유 등),당일돌파형,당일돌파형,0,,,고가 유지,11,3,True,★외인매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,27100.0,signal_price (장중),False,,,,,,,,False
한온시스템,018880,KOSPI,20.75,837776119680.0,5760.0,자동차 대표주,당일돌파형,당일돌파형,0,,,고가 유지,8,4,True,혼조,2026-05-11 14:50,1차,2026-05-11 14:50,,False,5760.0,signal_price (장중),False,,,,,,,,False
SK하이닉스,000660,KOSPI,14.0,11224001422000.0,1922000.0,IT 대표주,당일돌파형,당일돌파형,0,,,고가 유지,10,3,False,★기관매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,1922000.0,signal_price (장중),False,,,,,,,,False
아주IB투자,027360,KOSDAQ,13.02,584217502400.0,17800.0,스페이스X(SpaceX),당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,쌍매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,17800.0,signal_price (장중),False,,,,,,,,False
선도전기,007610,KOSPI,21.62,163127467720.0,12040.0,전기장비,당일돌파형,당일돌파형,0,,,고가 유지,8,4,False,기관매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,12040.0,signal_price (장중),False,,,,,,,,False
레인보우로보틱스,277810,KOSDAQ,10.84,362976086000.0,869000.0,로봇(산업용/협동로봇 등),당일돌파형,당일돌파형,0,,,고가 유지,6,3,False,★쌍매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,869000.0,signal_price (장중),False,,,,,,,,False
주성엔지니어링,036930,KOSDAQ,19.87,308155369500.0,166500.0,반도체와반도체장비,당일돌파형,당일돌파형,0,,,고가 유지,5,3,False,기관매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,166500.0,signal_price (장중),False,,,,,,,,False
광전자,017900,KOSPI,20.16,282859924440.0,13470.0,마이크로 LED,당일돌파형,당일돌파형,0,,,고가 유지,5,3,False,외인매수,2026-05-11 14:50,1차,2026-05-11 14:50,,False,13470.0,signal_price (장중),False,,,,,,,,False
