종목명,종목코드,시장,등락률,거래대금,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,run_time,run_type
주성엔지니어링,036930,KOSDAQ,29.97,875215525500.0,당일돌파형,당일돌파형,0,,,고가 유지,14,4,2026-04-21 05:43,수동
이수페타시스,007660,KOSPI,10.81,489460804200.0,당일돌파형,당일돌파형,0,,,고가 유지,10,3,2026-04-21 05:43,수동
드림시큐리티,203650,KOSDAQ,29.98,232937255000.0,당일돌파형,당일돌파형,0,,,고가 유지,9,4,2026-04-21 05:43,수동
퍼스텍,010820,KOSPI,16.47,431404741300.0,당일돌파형,당일돌파형,0,,,고가 유지,8,4,2026-04-21 05:43,수동
빛과전자,069540,KOSDAQ,11.26,360002295520.0,당일돌파형,당일돌파형,0,,,고가 유지,6,3,2026-04-21 05:43,수동
