종목명,종목코드,시장,등락률,거래대금,signal_price,sector,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
대한광통신,010170,KOSDAQ,19.32,1777885636600.0,21800.0,광통신(광케이블/광섬유 등),당일돌파형,당일돌파형,0,,,고가 유지,13,4,True,★쌍매수,2026-05-07 20:58,수동
삼성E&A,028050,KOSPI,21.51,2156983410400.0,64900.0,건설,당일돌파형,당일돌파형,0,,,고가 유지,11,3,True,★외인매수,2026-05-07 20:58,수동
수산세보틱스,017550,KOSPI,23.92,217157779120.0,3860.0,우크라이나 재건,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,★쌍매수,2026-05-07 20:58,수동
오이솔루션,138080,KOSDAQ,21.08,291383946000.0,54000.0,통신장비,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★쌍매수,2026-05-07 20:58,수동
서진시스템,178320,KOSDAQ,14.45,370599246600.0,68100.0,전기장비,당일돌파형,당일돌파형,0,,,고가 유지,6,3,False,★쌍매수,2026-05-07 20:58,수동
