종목명,종목코드,시장,등락률,거래대금,signal_price,sector,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type,signal_time,regular_close_price,regular_close_price_available,entry_reference_price,price_source,kim_hyungjun_flag,kim_hyungjun_stage,kim_hyungjun_base_offset,kim_hyungjun_base_tv_ratio,kim_hyungjun_today_tv_ratio,kim_hyungjun_close_vs_base_high_pct,kim_hyungjun_above_ma5,kim_hyungjun_supply_ok,is_kh_only
LG전자,066570,KOSPI,18.0,3497707460400.0,180500.0,IT 대표주,없음,없음,,,,약화,9,2,True,★쌍매수,2026-05-13 06:06,수동,2026-05-13 06:06,184900.0,True,184900.0,regular_close_price,False,,,,,,,,False
가온전선,000500,KOSPI,18.24,252790440000.0,564000.0,전기장비,당일돌파형,당일돌파형,0.0,,,고가 유지,9,4,False,★기관매수,2026-05-13 06:06,수동,2026-05-13 06:06,564000.0,True,564000.0,regular_close_price,False,,,,,,,,False
엑스게이트,356680,KOSDAQ,12.88,560799944870.0,19330.0,소프트웨어,당일돌파형,당일돌파형,0.0,,,고가 유지,7,3,False,혼조,2026-05-13 06:06,수동,2026-05-13 06:06,17270.0,True,17270.0,regular_close_price,False,,,,,,,,False
