종목명,종목코드,시장,등락률,거래대금,패턴,pattern_type_label,base_candle_offset,base_high_gap_pct,tv_ratio,status_summary,total_score,checklist_pass,in_inter,supply_label,run_time,run_type
삼성증권,016360,KOSPI,28.28,933049254400.0,당일돌파형,당일돌파형,0,,,고가 유지,14,4,True,★외인매수,2026-05-04 17:50,2차
산일전기,062040,KOSPI,25.38,1584823051000.0,당일돌파형,당일돌파형,0,,,고가 유지,12,4,True,쌍매수,2026-05-04 17:50,2차
제룡전기,033100,KOSDAQ,29.97,677863357500.0,당일돌파형,당일돌파형,0,,,고가 유지,10,4,True,★기관매수,2026-05-04 17:50,2차
SK스퀘어,402340,KOSPI,17.84,1700203377000.0,당일돌파형,당일돌파형,0,,,고가 유지,11,4,False,★기관매수,2026-05-04 17:50,2차
LS마린솔루션,060370,KOSDAQ,29.88,347709476950.0,당일돌파형,당일돌파형,0,,,고가 유지,10,4,False,★기관매수,2026-05-04 17:50,2차
보성파워텍,006910,KOSDAQ,18.79,646781664550.0,당일돌파형,당일돌파형,0,,,고가 유지,9,3,False,쌍매수,2026-05-04 17:50,2차
대한광통신,010170,KOSDAQ,16.83,1468752743700.0,당일돌파형,당일돌파형,0,,,고가 유지,9,4,False,혼조,2026-05-04 17:50,2차
SK하이닉스,000660,KOSPI,12.52,13507763064000.0,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★기관매수,2026-05-04 17:50,2차
삼성전기,009150,KOSPI,10.34,1411210732000.0,당일돌파형,당일돌파형,0,,,고가 유지,8,3,False,★외인매수,2026-05-04 17:50,2차
일진전기,103590,KOSPI,17.63,723283644600.0,당일돌파형,당일돌파형,0,,,고가 유지,8,4,False,★기관매수,2026-05-04 17:50,2차
아진엑스텍,059120,KOSDAQ,29.97,164316297540.0,당일돌파형,당일돌파형,0,,,고가 유지,7,4,False,혼조,2026-05-04 17:50,2차
