종목코드,현재가
005930,248500.0
000660,1690000.0
005935,187100.0
402340,1000000.0
009150,1317000.0
373220,365500.0
005380,367000.0
207940,1412000.0
105560,175800.0
032830,285500.0
028260,347000.0
034020,86200.0
012450,1063000.0
055550,112200.0
329180,453500.0
000270,121800.0
006400,547000.0
068270,177500.0
034730,550000.0
086790,137600.0
012330,394500.0
066570,202000.0
035420,206000.0
000810,661000.0
010120,194700.0
316140,36350.0
005490,332000.0
042660,82400.0
267260,700000.0
298040,2689000.0
069500,104275.0
009540,339000.0
096770,141700.0
010130,1138000.0
042700,222500.0
138040,126500.0
000150,1289000.0
360750,25625.0
015760,31350.0
011200,20650.0
051910,271500.0
017670,88000.0
010140,20700.0
267250,225000.0
033780,170800.0
006800,32050.0
003550,114300.0
018260,220500.0
003670,189300.0
010950,148700.0
024110,20350.0
086280,204500.0
035720,34500.0
079550,671000.0
000720,128100.0
278470,361500.0
030200,53000.0
064350,121400.0
272210,69700.0
047810,129000.0
005830,188700.0
011070,506000.0
133690,174930.0
003490,29350.0
078930,115100.0
071050,191200.0
443060,232000.0
307950,370000.0
323410,21150.0
379800,23295.0
028050,50800.0
047050,54900.0
259960,210500.0
003230,1277000.0
102110,104650.0
005940,25850.0
006260,303500.0
180640,138100.0
396500,34630.0
379810,26150.0
488770,105525.0
090430,144000.0
0126Z0,333000.0
047040,19130.0
016360,86900.0
007660,104600.0
352820,173100.0
278530,37820.0
000880,137100.0
161390,58600.0
021240,101500.0
000500,240000.0
039490,268500.0
064400,71000.0
459580,1074760.0
009830,28550.0
267270,134500.0
128940,496500.0
032640,14850.0
377300,45750.0
326030,78100.0
005387,173700.0
175330,32200.0
000100,79300.0
241560,60000.0
062040,187500.0
498400,19485.0
052690,143800.0
001440,27900.0
381180,39470.0
091160,122695.0
029780,45250.0
088350,5970.0
0167A0,16585.0
122630,99690.0
000990,116700.0
138930,16040.0
353200,96700.0
004020,35150.0
088980,9780.0
066970,114700.0
229200,13685.0
271560,116000.0
051900,302000.0
454910,69500.0
036570,204000.0
011790,87300.0
310970,46520.0
034220,8610.0
458730,14705.0
148020,105180.0
001450,49200.0
005385,175500.0
002380,470000.0
0162Z0,13205.0
082740,47800.0
411060,26255.0
360200,25915.0
001040,131500.0
010060,203500.0
395160,37705.0
381170,30410.0
