종목코드,현재가
005930,253500.0
000660,1759000.0
005935,194600.0
402340,1020000.0
009150,1381000.0
373220,367000.0
005380,362000.0
207940,1409000.0
105560,176700.0
028260,353500.0
032830,283500.0
012450,1055000.0
034020,83800.0
055550,112100.0
000270,120700.0
329180,440500.0
006400,544000.0
068270,177200.0
034730,551000.0
086790,136700.0
012330,383000.0
066570,200000.0
035420,201500.0
010120,199400.0
000810,661000.0
316140,36300.0
298040,2806000.0
005490,326500.0
267260,707000.0
042660,81300.0
069500,106365.0
010130,1134000.0
009540,332500.0
096770,136300.0
000150,1387000.0
042700,226000.0
138040,125000.0
360750,25800.0
015760,30850.0
011200,20350.0
051910,271000.0
017670,88100.0
033780,172000.0
010140,20200.0
006800,31750.0
267250,215500.0
003550,112200.0
018260,217500.0
003670,188200.0
010950,144100.0
024110,20200.0
086280,200500.0
035720,33500.0
079550,666000.0
000720,124300.0
030200,52800.0
278470,353000.0
064350,119500.0
272210,68800.0
005830,187000.0
047810,125100.0
011070,515000.0
133690,175970.0
003490,29050.0
443060,236500.0
071050,186900.0
078930,112000.0
379800,23455.0
307950,363000.0
323410,20800.0
028050,50500.0
102110,106600.0
047050,54800.0
396500,35900.0
003230,1261000.0
006260,303500.0
005940,25400.0
259960,203000.0
379810,26300.0
180640,135600.0
488770,105530.0
090430,144600.0
0126Z0,327000.0
007660,107600.0
016360,85600.0
047040,18570.0
021240,107400.0
278530,38510.0
000500,249500.0
000880,137700.0
352820,169900.0
161390,57800.0
039490,267000.0
459580,1074855.0
064400,69700.0
128940,502000.0
009830,28500.0
267270,133600.0
032640,14650.0
175330,32950.0
326030,78200.0
062040,196300.0
005387,171300.0
498400,19820.0
241560,59400.0
000100,77300.0
091160,127700.0
377300,40500.0
001440,27900.0
381180,40130.0
000990,125000.0
122630,103580.0
0167A0,17190.0
052690,135400.0
029780,44400.0
088350,5840.0
353200,101700.0
138930,16090.0
088980,9730.0
004020,34600.0
229200,13775.0
066970,111000.0
051900,301500.0
271560,111400.0
310970,47400.0
454910,67700.0
036570,201000.0
148020,107110.0
458730,14820.0
011790,85700.0
034220,8470.0
001450,48500.0
0162Z0,13390.0
082740,48050.0
002380,466000.0
005385,171100.0
411060,26620.0
360200,26080.0
395160,38915.0
001040,131000.0
010060,203000.0
381170,30580.0
423160,110805.0
161890,150000.0
008930,51100.0
273130,109380.0
395270,55540.0
357870,58065.0
018880,3345.0
367380,30230.0
004170,362000.0
375500,87200.0
336260,51300.0
103590,70400.0
023530,118600.0
036460,36300.0
102780,25455.0
022100,21250.0
233740,6625.0
111770,72100.0
192820,280500.0
0043B0,103670.0
012750,82900.0
006360,36700.0
455890,55545.0
035250,14530.0
028670,5800.0
487240,35240.0
011780,121000.0
031210,42350.0
139130,18450.0
017800,72800.0
302440,36200.0
251270,34150.0
011170,64100.0
007340,46300.0
003690,15210.0
004800,160200.0
097950,176700.0
085620,19380.0
139260,134365.0
383220,66800.0
026960,25300.0
481050,1023035.0
450080,35350.0
004990,25100.0
009420,47750.0
282330,141500.0
486290,10235.0
426030,44490.0
004370,398000.0
472150,19990.0
005440,13080.0
161510,25055.0
449170,111890.0
001720,143000.0
005850,50300.0
278540,37840.0
014680,214500.0
000240,24200.0
204320,48400.0
489790,45000.0
279570,5550.0
018670,239000.0
112610,52500.0
385540,102415.0
0193T0,10685.0
009970,166600.0
103140,76800.0
069960,98000.0
051600,46800.0
081660,39300.0
020150,38900.0
456600,56180.0
139480,73300.0
073240,7030.0
030000,17550.0
002790,26300.0
007070,24050.0
483650,160100.0
284430,20420.0
457190,64300.0
462870,31400.0
214980,114425.0
292150,37540.0
000155,448500.0
294400,139600.0
181710,53400.0
089860,48150.0
439260,45600.0
229640,56600.0
305720,14700.0
023590,39850.0
441640,12340.0
475150,48800.0
071970,48750.0
442580,97095.0
105190,106580.0
000120,71000.0
001120,41650.0
120110,53800.0
020560,7820.0
006040,36200.0
008770,40550.0
012630,26600.0
294870,24000.0
395400,5210.0
093370,14530.0
368590,29325.0
329200,4055.0
001430,43250.0
477080,107585.0
610063,55815.0
0177N0,14105.0
446770,74675.0
001820,143900.0
011210,55000.0
379780,22555.0
530031,3665.0
001800,24400.0
453850,7060.0
475630,1077315.0
152100,107930.0
006280,122400.0
009155,489500.0
466920,26830.0
0195S0,9050.0
487230,18735.0
226490,68840.0
298020,324500.0
281820,70500.0
005070,41600.0
232080,14010.0
097230,15040.0
091230,135930.0
322000,120000.0
0193W0,11100.0
00680K,10500.0
