종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
464080,9660.0,932000000.0,10030.0,10080.0,9610.0,94722.0,
138610,15190.0,1311000000.0,15340.0,15600.0,15130.0,85391.0,4157580000.0
054210,6820.0,1000000000.0,6860.0,6980.0,6650.0,147171.0,
340450,7290.0,5761000000.0,6850.0,7480.0,6710.0,796755.0,
405100,14020.0,411000000.0,14270.0,14360.0,14010.0,28970.0,
194480,14130.0,1237000000.0,14370.0,14370.0,13940.0,87884.0,230941999.99999997
082800,2830.0,487000000.0,2885.0,2920.0,2815.0,169568.0,
274090,12470.0,37084000000.0,12420.0,14300.0,12310.0,2777819.0,
092130,14240.0,46000000.0,13850.0,14490.0,13850.0,3246.0,
068790,7730.0,1475000000.0,7290.0,8160.0,7290.0,186681.0,
264850,5660.0,1141000000.0,5850.0,5870.0,5610.0,198904.0,
143160,15930.0,41000000.0,15920.0,16010.0,15760.0,2613.0,
199820,7680.0,1451000000.0,7920.0,7920.0,7580.0,187450.0,
149950,12430.0,5011000000.0,12860.0,13390.0,12250.0,387248.0,
039830,15780.0,1028000000.0,16480.0,16630.0,15430.0,65110.0,
270660,13360.0,260000000.0,13500.0,13630.0,13320.0,19314.0,260652999.99999997
032940,9310.0,3015000000.0,9550.0,9690.0,9100.0,323208.0,
475040,3120.0,2143000000.0,3225.0,3315.0,3095.0,667304.0,
118990,6820.0,583000000.0,6820.0,6890.0,6780.0,85447.0,
086820,6450.0,521000000.0,6380.0,6790.0,6290.0,79578.0,
245620,741.0,0.0,0.0,0.0,0.0,0.0,
012860,2280.0,657000000.0,2305.0,2350.0,2255.0,284951.0,
122990,6510.0,248000000.0,6510.0,6640.0,6500.0,37705.0,
489460,11310.0,234000000.0,11590.0,11590.0,11210.0,20608.0,
119830,6270.0,589000000.0,6200.0,6330.0,6110.0,94882.0,
038390,9950.0,49000000.0,10090.0,10100.0,9950.0,4941.0,
051370,7130.0,16397000000.0,6440.0,7800.0,6370.0,2247293.0,
0015G0,14180.0,781000000.0,14800.0,14800.0,14050.0,54333.0,
0007C0,20650.0,32527000000.0,19460.0,23600.0,19060.0,1481686.0,
204610,2970.0,185000000.0,2975.0,3015.0,2940.0,62203.0,
119610,14470.0,552000000.0,13900.0,14600.0,13850.0,38395.0,
357550,30250.0,61000000.0,30800.0,30950.0,29900.0,1997.0,56176000.0
088800,2180.0,708000000.0,2345.0,2345.0,2165.0,316670.0,
049630,7030.0,1346000000.0,7350.0,7350.0,7030.0,187046.0,
382800,5160.0,3410000000.0,5460.0,5470.0,5110.0,644056.0,
104480,1806.0,277000000.0,1820.0,1847.0,1791.0,152084.0,
123410,5870.0,439000000.0,5850.0,5930.0,5710.0,75033.0,
950140,8200.0,55000000.0,8300.0,8300.0,8120.0,6761.0,
260970,56200.0,344000000.0,56100.0,56700.0,55500.0,6134.0,
402030,12960.0,233000000.0,13250.0,13390.0,12950.0,17650.0,576443000.0
123860,13350.0,127000000.0,13550.0,13580.0,13120.0,9604.0,
263860,17770.0,3806000000.0,17200.0,18000.0,16700.0,217084.0,
032620,3085.0,84000000.0,3075.0,3100.0,3050.0,27295.0,
388790,5250.0,6070000000.0,5430.0,5790.0,5060.0,1121901.0,
289080,2670.0,3413000000.0,2690.0,2820.0,2660.0,1243471.0,
234690,8930.0,935000000.0,9070.0,9130.0,8890.0,104296.0,
134580,3245.0,1803000000.0,3450.0,3560.0,3060.0,553731.0,
355150,20500.0,2654000000.0,21400.0,21600.0,20300.0,127352.0,
474650,27750.0,780000000.0,28300.0,29350.0,27750.0,27418.0,
066410,1153.0,0.0,0.0,0.0,0.0,0.0,
372170,20000.0,98000000.0,20100.0,20500.0,19980.0,4858.0,98558000.0
041920,8580.0,696000000.0,8650.0,8760.0,8440.0,81450.0,
036170,2595.0,1254000000.0,2870.0,2870.0,2580.0,464173.0,
093190,8270.0,91000000.0,8140.0,8290.0,8040.0,11192.0,
039860,4170.0,519000000.0,4210.0,4275.0,4165.0,123262.0,
0082N0,11920.0,566000000.0,11890.0,12450.0,11470.0,47782.0,
126700,10600.0,352000000.0,10730.0,10890.0,10500.0,33022.0,
080160,8380.0,1080000000.0,8630.0,8690.0,8250.0,128986.0,
013990,4800.0,223000000.0,4750.0,4835.0,4745.0,46420.0,
024800,4470.0,172000000.0,4560.0,4585.0,4470.0,37930.0,
072870,13190.0,249000000.0,13200.0,13270.0,13090.0,18903.0,
023910,26200.0,28000000.0,26250.0,26350.0,26050.0,1089.0,
488280,14520.0,4426000000.0,14030.0,14590.0,13800.0,310503.0,5940129000.0
093640,4760.0,54000000.0,4815.0,4815.0,4725.0,11381.0,
226590,14580.0,1437000000.0,14480.0,14980.0,14470.0,98099.0,
264450,10650.0,1074000000.0,10700.0,11200.0,10500.0,99583.0,
187870,11210.0,1989000000.0,10710.0,11420.0,10580.0,178902.0,
413630,4250.0,4079000000.0,4440.0,4445.0,4205.0,943722.0,
011040,5020.0,104000000.0,5100.0,5100.0,4995.0,20660.0,
418550,4800.0,138000000.0,4800.0,4850.0,4745.0,28852.0,
054450,10080.0,1420000000.0,10190.0,10410.0,10010.0,138526.0,
163730,11910.0,4532000000.0,10900.0,12470.0,10870.0,380844.0,
432720,10700.0,2927000000.0,11270.0,11590.0,10480.0,268064.0,
041520,12440.0,422000000.0,12570.0,12800.0,12140.0,33460.0,
222040,7350.0,683000000.0,7440.0,7460.0,7090.0,93973.0,
478340,13030.0,15448000000.0,13950.0,14550.0,12810.0,1118254.0,
054800,14610.0,33000000.0,14700.0,14780.0,14500.0,2276.0,
007330,10010.0,127000000.0,10020.0,10030.0,9900.0,12719.0,
205500,1799.0,201000000.0,1868.0,1870.0,1770.0,111318.0,
067280,25350.0,1385000000.0,25000.0,25950.0,24650.0,54605.0,
041020,3020.0,622000000.0,3045.0,3135.0,3010.0,202032.0,
394800,4705.0,1670000000.0,4675.0,4960.0,4610.0,348914.0,1196101000.0
138360,1691.0,619000000.0,1719.0,1773.0,1677.0,364071.0,
092070,12800.0,282000000.0,12980.0,12990.0,12600.0,22120.0,
078070,8680.0,202000000.0,8680.0,8790.0,8510.0,23382.0,
046440,4060.0,212000000.0,4060.0,4065.0,4025.0,52406.0,
179290,4525.0,135000000.0,4550.0,4550.0,4495.0,29889.0,
065660,14560.0,281000000.0,14740.0,14740.0,14200.0,19495.0,193064000.0
023600,9070.0,45000000.0,9100.0,9200.0,9030.0,4911.0,
469610,16200.0,2853000000.0,16210.0,17140.0,16070.0,171210.0,4196935000.0
042600,11640.0,57000000.0,11690.0,11690.0,11360.0,4916.0,
489500,22600.0,414000000.0,22600.0,23000.0,22400.0,18256.0,
086890,3530.0,110000000.0,3600.0,3600.0,3505.0,31001.0,
0015N0,11430.0,8873000000.0,12320.0,12500.0,11230.0,763823.0,
005990,10800.0,3000000.0,10900.0,10920.0,10560.0,272.0,
101970,9670.0,55000000.0,9840.0,9840.0,9430.0,5744.0,
047770,3765.0,3936000000.0,3740.0,3885.0,3700.0,1036046.0,
049960,15150.0,143000000.0,15410.0,15410.0,15010.0,9403.0,
069510,13050.0,126000000.0,13160.0,13570.0,13020.0,9431.0,
147830,7100.0,1013000000.0,7090.0,7230.0,7020.0,142142.0,
035610,5180.0,109000000.0,5180.0,5350.0,5050.0,20984.0,
089600,12400.0,105000000.0,12550.0,12560.0,12350.0,8440.0,
300080,8560.0,500000000.0,8940.0,8970.0,8560.0,57524.0,482673000.00000006
148150,3960.0,251000000.0,3995.0,4070.0,3950.0,62883.0,
115310,9480.0,36000000.0,9530.0,9540.0,9300.0,3877.0,
0039P0,7460.0,4985000000.0,7990.0,8230.0,7460.0,638789.0,
212560,10350.0,925000000.0,10590.0,10600.0,10340.0,88606.0,
114840,8310.0,72000000.0,8400.0,8410.0,8300.0,8625.0,37771000.0
102120,7770.0,1952000000.0,7980.0,8110.0,7640.0,247479.0,
126640,3930.0,3920000000.0,3955.0,4175.0,3880.0,979683.0,
084990,2980.0,161000000.0,3020.0,3080.0,2970.0,53745.0,
445180,7990.0,168000000.0,8020.0,8170.0,7870.0,20925.0,
053260,7320.0,19957000000.0,7230.0,7860.0,7130.0,2640627.0,
073010,3405.0,1144000000.0,3475.0,3485.0,3310.0,335423.0,
003100,20400.0,118000000.0,20400.0,20400.0,20200.0,5839.0,
457550,14440.0,1025000000.0,14340.0,14850.0,14250.0,70448.0,
251370,7470.0,361000000.0,7590.0,7700.0,7410.0,47792.0,
