종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,supply_label,note
하나마이크론,067310,KOSDAQ,1.9,170412000000.0,45650.0,반도체와반도체장비,recent_base_pool,True,고가횡보형,False,True,2026-09-21,1,0.6178855345836058,0.5506607929515419,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
와이씨,232140,KOSDAQ,0.42,112455000000.0,14310.0,반도체와반도체장비,recent_base_pool,True,없음,False,False,2026-09-21,1,0.7741114897113232,-0.9002770083102494,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
SFA반도체,036540,KOSDAQ,0.66,154480000000.0,10620.0,반도체와반도체장비,recent_base_pool,True,고가수축형,True,True,2026-09-21,1,0.5518609693744795,-4.1516245487364625,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
대한광통신,010170,KOSDAQ,0.51,176345000000.0,17810.0,통신장비,recent_base_pool,True,없음,False,False,2026-09-18,2,0.17340039050396075,-6.213796735123749,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
RFHIC,218410,KOSDAQ,-1.17,72105844000.0,59000.0,통신장비,recent_base_pool,True,없음,False,False,2026-09-18,2,0.6514967325013583,-6.200317965023848,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
한화엔진,082740,KOSPI,-1.3,50023000000.0,49250.0,조선,recent_base_pool,True,없음,False,False,2026-09-17,3,0.4423827292891052,-9.132841328413283,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
