종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
가온전선,000500,KOSPI,-3.55,143237068000.0,204000.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-27,1,0.8541179902170839,-5.990783410138248,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,0.5,133881437500.0,200500.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-27,1,0.7426461877541227,-1.2315270935960592,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
한전기술,052690,KOSPI,-3.09,104604347200.0,120500.0,전기유틸리티,recent_base_pool,True,고가횡보형,False,True,False,2026-08-25,3,0.6490403059083021,7.974910394265233,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
현대건설,000720,KOSPI,-0.31,111102129800.0,128200.0,건설,recent_base_pool,True,고가횡보형,False,True,False,2026-08-25,3,0.4465308391978703,4.567699836867863,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
엘앤에프,066970,KOSPI,3.85,104885590400.0,134400.0,전기제품,recent_base_pool,True,없음,False,False,False,2026-08-24,4,0.8080192206371728,7.865168539325842,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
