종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,supply_label,note
우리기술,032820,KOSDAQ,1.96,256534045000.0,14600.0,우주항공과국방,recent_base_pool,True,고가횡보형,False,True,2026-09-09,1,0.4561062997754204,0.3436426116838488,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
한전기술,052690,KOSPI,1.33,198874430000.0,143600.0,전기유틸리티,recent_base_pool,True,고가횡보형,False,True,2026-09-08,2,0.6229344916978458,-2.6440677966101696,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
비에이치아이,083650,KOSDAQ,0.3,48722437800.0,66900.0,에너지장비및서비스,recent_base_pool,True,고가수축형,True,True,2026-09-08,3,0.5377386925469028,-4.154727793696275,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
