종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
온코닉테라퓨틱스,476060,KOSDAQ,-0.22,122508264600.0,17750.0,제약,recent_base_pool,True,없음,False,False,False,2026-08-31,1,1.0634599499949378,-4.672395273899033,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
가온전선,000500,KOSPI,-0.71,56561150000.0,205500.0,전기장비,recent_base_pool,True,고가수축형,True,True,False,2026-08-27,3,0.3372723027419621,-5.299539170506913,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,-0.25,88674070000.0,191800.0,전기장비,recent_base_pool,True,고가수축형,True,True,False,2026-08-27,3,0.49187894354766115,-5.517241379310345,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
현대건설,000720,KOSPI,-2.11,89527122800.0,118500.0,남북경협,recent_base_pool,True,고가횡보형,False,True,False,2026-08-25,5,0.35981867626496916,-3.3442088091353996,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
