종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
가온전선,000500,KOSPI,2.94,189266860000.0,210000.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-27,2,1.1285921468170388,-3.225806451612903,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,-3.16,84782881800.0,196300.0,전기장비,recent_base_pool,True,고가수축형,True,True,False,2026-08-27,2,0.47029435246076134,-3.300492610837438,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
한전기술,052690,KOSPI,-4.9,77604757600.0,116100.0,전기유틸리티,recent_base_pool,True,고가횡보형,False,True,False,2026-08-25,4,0.48151551021431765,4.032258064516129,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
현대건설,000720,KOSPI,-4.34,133713418600.0,123100.0,건설,recent_base_pool,True,고가횡보형,False,True,False,2026-08-25,4,0.537407924825165,0.40783034257748774,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
