종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
일진전기,103590,KOSPI,-0.14,125103888000.0,72300.0,스마트그리드(지능형전력망),recent_base_pool,True,없음,False,False,False,2026-08-12,1,1.2194786802931132,-2.82258064516129,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
비에이치,090460,KOSPI,4.22,117026919500.0,19140.0,전자장비와기기,recent_base_pool,True,없음,False,False,False,2026-08-11,2,1.4050586647160237,3.4594594594594597,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
대한광통신,010170,KOSDAQ,-2.0,113352790360.0,13240.0,통신장비,recent_base_pool,True,없음,False,False,False,2026-08-10,3,0.1830808521462867,-6.891701828410689,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,-0.58,96755192000.0,187400.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-10,3,0.797877481061714,0.4287245444801715,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
