종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
비에이치,090460,KOSPI,1.93,141126189410.0,18470.0,전자장비와기기,recent_base_pool,True,없음,False,False,False,2026-08-11,1,1.6944013915437228,-0.16216216216216214,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
대한광통신,010170,KOSDAQ,0.45,145226339440.0,13510.0,통신장비,recent_base_pool,True,고가횡보형,False,True,False,2026-08-10,2,0.2345611598472262,-4.9929676511954995,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,2.38,127159395000.0,189100.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-10,2,1.0486012758460705,1.339764201500536,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
