종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
일진전기,103590,KOSPI,-3.5,57127939500.0,70700.0,전기장비,recent_base_pool,True,고가수축형,True,True,False,2026-08-12,3,0.5568676192487704,-4.973118279569892,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
비에이치,090460,KOSPI,-2.93,75476524880.0,17680.0,전자장비와기기,recent_base_pool,True,없음,False,False,False,2026-08-11,4,0.9061927436729507,-4.4324324324324325,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
대한광통신,010170,KOSDAQ,-3.59,75196186760.0,12890.0,통신장비,recent_base_pool,True,없음,False,False,False,2026-08-10,5,0.12145251922294294,-9.353023909985936,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,-1.81,77802537600.0,177100.0,전기장비,recent_base_pool,True,고가횡보형,False,True,False,2026-08-10,5,0.6415871999974667,-5.091103965702037,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
