종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,kim_hyungjun_flag,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,above_ma5,supply_label,note
일진전기,103590,KOSPI,2.62,77144087000.0,74000.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-12,2,0.7519795820188827,-0.5376344086021506,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
비에이치,090460,KOSPI,-4.42,50608615200.0,18310.0,전자장비와기기,recent_base_pool,True,고가횡보형,False,True,False,2026-08-11,3,0.607621507938941,-1.027027027027027,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
대한광통신,010170,KOSDAQ,0.98,85893305470.0,13370.0,통신장비,recent_base_pool,True,고가횡보형,False,True,False,2026-08-10,4,0.13872988489446222,-5.977496483825598,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
산일전기,062040,KOSPI,-2.93,108215540000.0,182400.0,전기장비,recent_base_pool,True,없음,False,False,False,2026-08-10,4,0.8923835577416162,-2.2508038585209005,,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
