종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,supply_label,note
금호전기,001210,KOSPI,-3.23,67583278620.0,12870.0,디스플레이장비및부품,recent_base_pool,True,없음,False,False,2026-08-31,4,0.24583854628724225,20.50561797752809,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
가온전선,000500,KOSPI,3.73,104110827500.0,209000.0,전기장비,recent_base_pool,True,고가횡보형,False,True,2026-08-27,5,0.6208094872769772,-3.686635944700461,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
