종목명,종목코드,시장,등락률,거래대금,signal_price,sector,source_pool,observation_only,pattern_type_label,is_htc_candidate,is_high_range_candidate,base_candle_date,base_candle_offset,today_tv_ratio,close_from_base_high_pct,supply_label,note
원익홀딩스,030530,KOSDAQ,1.0,63683000000.0,25300.0,반도체와반도체장비,recent_base_pool,True,고가수축형,True,True,2026-09-15,1,0.24636520735458842,-5.420560747663552,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
에스피지,058610,KOSDAQ,-4.47,99991568000.0,98100.0,전기제품,recent_base_pool,True,없음,False,False,2026-09-15,1,0.5644482400768286,-8.828996282527882,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
우리기술,032820,KOSDAQ,-2.2,37026000000.0,12920.0,우주항공과국방,recent_base_pool,True,없음,False,False,2026-09-09,5,0.06583060683226165,-11.202749140893472,,최근 기준봉 이후 관찰 후보 (매수 신호 아님)
