종목코드,nxt_price,nxt_volume,nxt_tv
000660,2699000.0,4194562.0,11037617000000.0
005930,363500.0,26314943.0,9310078000000.0
009150,2205000.0,1424042.0,3096058000000.0
001820,182300.0,5309349.0,981737000000.0
402340,1734000.0,508587.0,851642000000.0
011070,1288000.0,644916.0,818025000000.0
005380,606000.0,1284305.0,779012000000.0
000500,375000.0,1697394.0,673548000000.0
034020,100400.0,6336013.0,664917000000.0
066570,229500.0,2196695.0,510351000000.0
042700,332000.0,1378812.0,444111000000.0
122640,37900.0,10154594.0,390905000000.0
042660,124900.0,2486357.0,320936000000.0
035420,235500.0,1330461.0,315070000000.0
011790,125600.0,2249112.0,286023000000.0
012330,606000.0,422147.0,257456000000.0
052690,135300.0,1585042.0,240747000000.0
240810,164900.0,1414443.0,232194000000.0
347850,109800.0,2111046.0,227874000000.0
010120,246000.0,899563.0,224719000000.0
085620,31700.0,6138802.0,206776000000.0
006800,50400.0,3716248.0,191476000000.0
204320,69200.0,2615551.0,190259000000.0
006400,525000.0,355427.0,187644000000.0
079550,879000.0,173696.0,156596000000.0
028050,49700.0,2611644.0,133421000000.0
010140,27850.0,4399404.0,124868000000.0
000720,133300.0,851290.0,117883000000.0
196170,367500.0,308231.0,114480000000.0
064400,89400.0,1190760.0,107612000000.0
005490,368500.0,256403.0,95428000000.0
454910,103300.0,900091.0,94617000000.0
329180,687000.0,134198.0,93711000000.0
028260,486000.0,185431.0,89715000000.0
090360,104400.0,769040.0,83549000000.0
375500,79100.0,975489.0,81124000000.0
086520,116800.0,661433.0,78009000000.0
083650,64900.0,1079231.0,76697000000.0
017670,96300.0,790741.0,76677000000.0
015760,39750.0,1862009.0,74875000000.0
018260,220000.0,330897.0,73253000000.0
319660,176000.0,415464.0,71215000000.0
000270,160000.0,411823.0,66448000000.0
108490,303500.0,209282.0,65080000000.0
062040,239500.0,260969.0,64557000000.0
082740,59400.0,976803.0,61286000000.0
277810,612000.0,98073.0,60292000000.0
469610,19900.0,2700029.0,59691000000.0
003490,29050.0,2064152.0,59364000000.0
290650,83800.0,669982.0,56702000000.0
336260,64700.0,836369.0,54962000000.0
009830,38100.0,1382788.0,53658000000.0
058470,92200.0,584192.0,53635000000.0
092790,16580.0,3129601.0,53056000000.0
010060,273000.0,188232.0,52735000000.0
298380,100900.0,496124.0,52633000000.0
347700,27450.0,1808692.0,51922000000.0
114190,11400.0,4316443.0,51687000000.0
278470,383500.0,132721.0,51448000000.0
247540,171700.0,295748.0,51220000000.0
007660,121400.0,417563.0,50864000000.0
272210,95300.0,506889.0,49937000000.0
087010,220000.0,221415.0,49918000000.0
319400,33650.0,1436500.0,49773000000.0
100090,17140.0,2676599.0,49250000000.0
112610,44250.0,933042.0,43677000000.0
222800,128600.0,325920.0,42247000000.0
103590,87000.0,467594.0,41599000000.0
105560,163000.0,243560.0,39504000000.0
476830,89600.0,409370.0,38926000000.0
010690,12170.0,3063776.0,38407000000.0
035720,39350.0,952034.0,37750000000.0
005290,62900.0,593894.0,37031000000.0
267270,145400.0,243393.0,36315000000.0
066970,128400.0,275613.0,35848000000.0
028300,50100.0,689657.0,35276000000.0
161000,11280.0,2860214.0,34462000000.0
064350,210500.0,161731.0,34358000000.0
484590,9610.0,3344128.0,34273000000.0
006360,27900.0,1190966.0,34126000000.0
352820,228000.0,139264.0,32123000000.0
095610,176800.0,183831.0,31809000000.0
011200,20550.0,1510388.0,31790000000.0
049070,22250.0,1421765.0,31419000000.0
068270,173100.0,180640.0,31387000000.0
089970,95200.0,341220.0,31363000000.0
141080,135000.0,221971.0,30894000000.0
047810,150900.0,193825.0,29619000000.0
016360,119600.0,243136.0,29337000000.0
044490,38400.0,699640.0,29262000000.0
051600,50700.0,497550.0,26908000000.0
000990,155300.0,168730.0,25924000000.0
078600,116800.0,206479.0,24202000000.0
217590,18050.0,1253893.0,23748000000.0
096770,104000.0,206673.0,21739000000.0
295310,74000.0,280167.0,21262000000.0
183300,109000.0,202176.0,21236000000.0
356680,17360.0,1032539.0,18186000000.0
489790,70300.0,257500.0,17979000000.0
003550,109300.0,151030.0,16614000000.0
033100,54100.0,292523.0,16468000000.0
226950,135500.0,114612.0,15806000000.0
131970,143300.0,106870.0,15316000000.0
058610,91800.0,150948.0,14189000000.0
055550,101100.0,139090.0,14127000000.0
071970,69700.0,193138.0,13763000000.0
083450,59700.0,228839.0,13311000000.0
047050,56800.0,227883.0,13194000000.0
457190,80900.0,156579.0,12880000000.0
229640,65900.0,183753.0,12564000000.0
017960,32100.0,376286.0,12487000000.0
008770,58100.0,209094.0,12340000000.0
316140,31550.0,354741.0,11319000000.0
004020,33600.0,327242.0,11103000000.0
101160,28400.0,361984.0,10600000000.0
007390,30700.0,329644.0,10353000000.0
323280,48900.0,205861.0,10111000000.0
000100,77600.0,124721.0,9812000000.0
077970,34850.0,269776.0,9769000000.0
458870,32800.0,279810.0,9553000000.0
059090,21100.0,454039.0,9392000000.0
090460,26800.0,338006.0,9210000000.0
124500,33150.0,270886.0,9178000000.0
161580,40900.0,218072.0,8945000000.0
397030,41900.0,201515.0,8741000000.0
218410,75300.0,114372.0,8578000000.0
023160,31200.0,249297.0,8221000000.0
263750,38950.0,207190.0,8156000000.0
033640,36700.0,222630.0,8115000000.0
074600,38000.0,206479.0,7985000000.0
009420,54700.0,143599.0,7937000000.0
323410,23050.0,334027.0,7761000000.0
100840,35700.0,206705.0,7739000000.0
005690,14080.0,531353.0,7723000000.0
376900,45400.0,158171.0,7498000000.0
348370,31600.0,227631.0,7399000000.0
024110,21900.0,334668.0,7380000000.0
466100,35600.0,196749.0,7261000000.0
389260,16060.0,427224.0,7170000000.0
101490,65200.0,112074.0,7144000000.0
022100,26400.0,260326.0,6967000000.0
336570,6220.0,1078043.0,6785000000.0
377300,46200.0,144849.0,6760000000.0
475830,63900.0,100246.0,6615000000.0
020150,51900.0,126805.0,6614000000.0
257720,33750.0,190645.0,6495000000.0
437730,47250.0,133732.0,6467000000.0
338220,9160.0,619452.0,6269000000.0
032500,24850.0,251984.0,6241000000.0
003160,29400.0,214470.0,6224000000.0
456160,45050.0,128193.0,6007000000.0
486990,25300.0,235326.0,5995000000.0
001430,43050.0,127782.0,5622000000.0
328130,13690.0,388550.0,5440000000.0
001450,39750.0,132767.0,5307000000.0
181710,40750.0,129588.0,5273000000.0
082920,43150.0,120013.0,5155000000.0
005940,31450.0,160793.0,5102000000.0
089010,28900.0,174236.0,5102000000.0
046890,12860.0,395746.0,5053000000.0
039200,39750.0,113328.0,4584000000.0
424870,4190.0,1007740.0,4522000000.0
488280,16290.0,270552.0,4511000000.0
034230,14660.0,304180.0,4509000000.0
0009K0,26450.0,149553.0,4056000000.0
047920,13000.0,288458.0,3868000000.0
014620,31850.0,116249.0,3841000000.0
060370,29900.0,116702.0,3541000000.0
032640,15060.0,231904.0,3522000000.0
082270,14090.0,240508.0,3521000000.0
372320,31300.0,107333.0,3514000000.0
032350,17120.0,201946.0,3485000000.0
476060,16160.0,197103.0,3253000000.0
304360,24350.0,126710.0,3081000000.0
358570,12580.0,235672.0,3046000000.0
042520,24850.0,105797.0,2648000000.0
204270,16510.0,153427.0,2549000000.0
110990,24350.0,100411.0,2426000000.0
117730,16130.0,142584.0,2350000000.0
450950,7890.0,263546.0,2233000000.0
